offset,size,shannon_entropy,chi_square,serial_correlation,compression_ratio,mean_byte,std_byte,null_ratio,zscore_score,zscore_anomaly,anomaly_score,is_anomalous
0,4096,6.05214702177232,121401.25,0.42846617102622986,0.639404296875,78.472900390625,84.8701171875,0.3427734375,42.7425393811925,False,42.7425393811925,False
4096,4096,7.948833330760271,290.375,-0.029653377830982208,1.002685546875,129.809814453125,73.999755859375,0.004638671875,4.3553465283415385,False,4.3553465283415385,False
8192,4096,7.9594119325502275,227.25,0.0090226074680686,1.002685546875,128.99853515625,73.00880432128906,0.00244140625,5.107648929177088,False,5.107648929177088,False
12288,4096,7.953199929019298,258.5,0.01782996393740177,1.002685546875,132.407470703125,72.9792709350586,0.002197265625,4.769958311875932,False,4.769958311875932,False
16384,4096,7.959885920334305,229.75,0.010877332650125027,1.002685546875,127.665771484375,73.8019790649414,0.00390625,5.053867386804944,False,5.053867386804944,False
20480,4096,7.957215588034238,242.0,-0.01717551238834858,1.002685546875,128.79638671875,73.14414978027344,0.004150390625,4.830136196786008,False,4.830136196786008,False
24576,4096,7.960084408859999,223.875,0.005781049374490976,1.002685546875,128.36962890625,73.43511962890625,0.00390625,5.215859128757563,False,5.215859128757563,False
28672,4096,7.943860160963974,303.75,0.0070060365833342075,1.002685546875,125.904541015625,73.16175842285156,0.00244140625,5.016029066800085,False,5.016029066800085,False
32768,4096,7.944008024706818,314.0,0.0015456316759809852,1.002685546875,126.706298828125,72.94356536865234,0.00244140625,5.187551355624274,False,5.187551355624274,False
36864,4096,7.902894478694654,633.875,0.02258378639817238,1.002685546875,130.313232421875,76.52479553222656,0.007568359375,4.109425688659922,False,4.109425688659922,False
40960,4096,7.954231597918031,256.25,0.001206565648317337,1.002685546875,125.927490234375,72.06001281738281,0.003173828125,5.300556895796566,False,5.300556895796566,False
45056,4096,7.691227595711534,2999.5,-0.06453940272331238,0.836181640625,127.555419921875,76.00334167480469,0.00537109375,3.64085234251575,False,3.64085234251575,False
49152,4096,7.931858239805904,403.625,0.033375948667526245,0.981201171875,129.59619140625,75.08744812011719,0.009765625,3.7066200212889244,False,3.7066200212889244,False
53248,4096,7.949060739160395,289.875,1.8217460819869302e-06,1.002685546875,129.882080078125,73.54443359375,0.001708984375,5.28611844801966,False,5.28611844801966,False
57344,4096,7.942788529280824,319.375,-0.013559136539697647,1.002685546875,129.20947265625,74.07697296142578,0.002197265625,4.79925629825306,False,4.79925629825306,False
61440,4096,7.951108985998265,265.5,-0.009588290937244892,1.002685546875,131.099365234375,73.28380584716797,0.001220703125,5.0075270956905165,False,5.0075270956905165,False
65536,4096,7.176285176431656,8087.75,-0.0453946590423584,0.542724609375,104.404052734375,77.00733184814453,0.010009765625,12.435275511971845,False,12.435275511971845,False
69632,4096,7.93269361070835,372.375,-0.004132675472646952,1.002685546875,134.151611328125,73.13092041015625,0.00048828125,4.993701246200586,False,4.993701246200586,False
73728,4096,7.934283795197587,360.5,-0.004222338553518057,1.002685546875,136.104736328125,73.93773651123047,0.00048828125,5.007068127482906,False,5.007068127482906,False
77824,4096,7.9454088460804995,302.375,0.03240560367703438,1.002685546875,132.318359375,73.17311096191406,0.001220703125,4.235495723614656,False,4.235495723614656,False
81920,4096,7.95363550577982,259.875,0.015131347812712193,1.002685546875,125.702880859375,74.25335693359375,0.003662109375,4.8584992660524655,False,4.8584992660524655,False
86016,4096,7.956388433779814,238.875,0.003496709978207946,1.002685546875,127.793701171875,74.0591049194336,0.003173828125,5.250887046471881,False,5.250887046471881,False
90112,4096,7.947072616642012,292.375,-0.017274536192417145,1.002685546875,127.588134765625,72.82301330566406,0.004638671875,4.726051413606114,False,4.726051413606114,False
94208,4096,7.954362857648235,254.125,-0.009912273846566677,1.002685546875,126.244873046875,73.47745513916016,0.002685546875,5.029364509799099,False,5.029364509799099,False
98304,4096,7.804531444280354,1977.625,-0.0597585067152977,0.916259765625,125.560791015625,76.46725463867188,0.00537109375,2.3231480601795393,False,2.3231480601795393,False
102400,4096,7.792099864582442,2379.375,-0.039176493883132935,0.92236328125,128.399658203125,76.88177490234375,0.001953125,1.4230724251724038,False,1.4230724251724038,False
106496,4096,7.91800842446493,445.375,-0.006445064675062895,1.002685546875,135.693603515625,72.4159927368164,0.00048828125,4.775075016212265,False,4.775075016212265,False
110592,4096,7.91164568784841,466.0,0.0042627546936273575,1.002685546875,136.897216796875,71.49053192138672,0.000732421875,4.781014174574202,False,4.781014174574202,False
114688,4096,7.91698285736654,454.75,-0.005264376290142536,1.002685546875,136.875,71.6119384765625,0.000732421875,4.8014695940226675,False,4.8014695940226675,False
118784,4096,7.371125599434879,5635.0,0.02817210741341114,0.600830078125,112.8291015625,76.83944702148438,0.003173828125,9.631468069905047,False,9.631468069905047,False
122880,4096,7.911656697741295,580.0,0.02415207214653492,1.0,135.51708984375,76.17390441894531,0.004638671875,4.103361778941824,False,4.103361778941824,False
126976,4096,7.954222397474869,258.75,-0.0038019120693206787,1.002685546875,127.69970703125,73.92005920410156,0.003662109375,5.2189784125890535,False,5.2189784125890535,False
131072,4096,7.960424993188405,220.375,-0.017941923812031746,1.002685546875,127.3095703125,72.57342529296875,0.00390625,4.83857841244028,False,4.83857841244028,False
135168,4096,7.9468790356326915,296.375,0.0186048224568367,1.002685546875,128.576416015625,73.25800323486328,0.00341796875,4.682203236681628,False,4.682203236681628,False
139264,4096,7.8088671550854745,1549.25,0.040334638208150864,0.8720703125,125.630615234375,74.98223876953125,0.00146484375,2.5349029807428685,False,2.5349029807428685,False
143360,4096,7.911745688957365,489.875,-0.0005552983493544161,1.002685546875,139.93994140625,72.4438247680664,0.000732421875,4.896011071621599,False,4.896011071621599,False
147456,4096,7.772193697748082,1766.875,0.04558974504470825,0.801513671875,127.393310546875,74.16348266601562,0.000732421875,3.515703679635548,False,3.515703679635548,False
151552,4096,7.693604403008726,2454.5,-0.01258725207298994,0.779541015625,118.85009765625,76.307861328125,0.0166015625,4.321124018168918,False,4.321124018168918,False
155648,4096,7.9504698760767765,283.75,0.006377203855663538,1.002685546875,129.048828125,73.2174072265625,0.002197265625,5.100422410568388,False,5.100422410568388,False
159744,4096,7.945992480267358,301.75,0.00435998011380434,1.002685546875,129.915283203125,73.41658782958984,0.002197265625,5.119381466258446,False,5.119381466258446,False
163840,4096,7.955639473641737,246.25,-0.006833779625594616,1.002685546875,130.357666015625,73.7619400024414,0.00341796875,5.138612320095495,False,5.138612320095495,False
167936,4096,7.96003513637184,231.25,-0.02266417071223259,1.002685546875,127.13427734375,73.86505126953125,0.005615234375,4.686045603657708,False,4.686045603657708,False
172032,4096,7.959966215219497,223.25,-0.018574116751551628,1.002685546875,127.40771484375,73.95113372802734,0.00244140625,4.8141617653447435,False,4.8141617653447435,False
176128,4096,7.947460725241032,293.625,0.012953061610460281,1.002685546875,126.929931640625,73.86884307861328,0.007080078125,4.864971971863306,False,4.864971971863306,False
180224,4096,7.948027793157982,291.5,0.009715895168483257,1.002685546875,130.113525390625,74.81904602050781,0.001953125,4.971932575473643,False,4.971932575473643,False
184320,4096,7.629014950966134,3579.875,-0.01687880977988243,0.7841796875,120.0224609375,76.97000885009766,0.0087890625,4.62726864523611,False,4.62726864523611,False
188416,4096,7.952893671922346,252.625,0.054397691041231155,1.002685546875,131.299072265625,73.97565460205078,0.000732421875,4.908997613236906,False,4.908997613236906,False
192512,4096,7.949727046250508,271.375,-0.013816602528095245,1.002685546875,131.836669921875,74.02703094482422,0.00048828125,4.861440704618041,False,4.861440704618041,False
196608,4096,7.949287574472568,276.375,-0.012351016514003277,1.002685546875,131.582275390625,72.68029022216797,0.001220703125,4.902718464160502,False,4.902718464160502,False
200704,4096,7.78455279509338,1616.125,-0.05372140556573868,0.80712890625,123.462646484375,75.80183410644531,0.00146484375,3.8068423464387644,False,3.8068423464387644,False
204800,4096,7.824929069804696,1242.125,0.025717195123434067,0.8359375,125.849853515625,75.7281723022461,0.0009765625,3.3729130650564847,False,3.3729130650564847,False
208896,4096,7.920988886740513,446.125,-0.005593899637460709,1.002685546875,136.462158203125,72.13511657714844,0.000732421875,4.830063001476567,False,4.830063001476567,False
212992,4096,7.922185484359679,415.75,0.014915412291884422,1.002685546875,137.756103515625,72.82110595703125,0.00048828125,4.552171653736174,False,4.552171653736174,False
217088,4096,7.917190294004386,452.375,0.014010921120643616,1.002685546875,136.66943359375,71.67534637451172,0.000244140625,4.529745734980122,False,4.529745734980122,False
221184,4096,7.3133693052662805,7225.375,0.0469847209751606,0.6005859375,109.851806640625,75.91810607910156,0.00390625,10.28196715541254,False,10.28196715541254,False
225280,4096,7.888043982174597,827.25,-0.01985233649611473,1.001220703125,133.49462890625,77.39704895019531,0.006103515625,4.012210846959986,False,4.012210846959986,False
229376,4096,7.949388113155288,284.875,0.012044589966535568,1.002685546875,128.48046875,73.89850616455078,0.002685546875,4.912539743823534,False,4.912539743823534,False
233472,4096,7.954605873438542,253.25,-0.016666021198034286,1.002685546875,128.866943359375,72.89818572998047,0.0029296875,4.820256397616711,False,4.820256397616711,False
237568,4096,7.9530321794534995,262.625,0.02471783570945263,1.002685546875,127.49365234375,72.63410949707031,0.002685546875,4.552305266962799,False,4.552305266962799,False
241664,4096,7.8189825464041425,1481.5,0.05587514489889145,0.884765625,130.16845703125,75.24149322509766,0.002685546875,2.910672407529043,False,2.910672407529043,False
245760,4096,7.903554436323837,522.75,0.003692958503961563,1.002685546875,138.567138671875,70.74443054199219,0.00048828125,4.716873242575743,False,4.716873242575743,False
249856,4096,7.906948037075102,499.75,-0.01918853260576725,1.002685546875,136.353759765625,70.3739242553711,0.000732421875,4.26593352570166,False,4.26593352570166,False
253952,4096,7.320549147901509,5711.0,0.016650712117552757,0.558349609375,108.78759765625,78.09888458251953,0.0087890625,11.18071661050925,False,11.18071661050925,False
258048,4096,7.9504275064848855,278.25,-0.02321919985115528,1.002685546875,128.83544921875,73.58843994140625,0.0029296875,4.573072262876972,False,4.573072262876972,False
262144,4096,7.939699052236005,335.625,0.010094381868839264,1.002685546875,127.747802734375,73.13314056396484,0.001953125,4.876920806657621,False,4.876920806657621,False
266240,4096,7.952258265009875,267.5,0.0012686102418228984,1.002685546875,131.6416015625,73.62407684326172,0.00341796875,5.278842416480829,False,5.278842416480829,False
270336,4096,7.931773716934229,424.0,0.029399482533335686,0.9658203125,130.44384765625,73.2963638305664,0.002197265625,3.570390713702479,False,3.570390713702479,False
274432,4096,7.6271883770352575,5997.875,-0.0059713562950491905,0.83935546875,127.234130859375,73.3519515991211,0.0009765625,3.851613489662975,False,3.851613489662975,False
278528,4096,7.934672603178064,361.25,-0.016047054901719093,1.002685546875,133.45654296875,73.35359191894531,0.00048828125,4.640407622305752,False,4.640407622305752,False
