start_offset,end_offset,size,block_count,mean_entropy,max_entropy,mean_anomaly_score,max_anomaly_score
21344256,21528576,184320,45,2.0563,3.5148,100.0,100
22044672,22147072,102400,25,2.0645,3.8254,99.79,100
35545088,35954688,409600,100,2.0008,2.93,100.0,100
