offset,size,shannon_entropy,chi_square,serial_correlation,compression_ratio,mean_byte,std_byte,null_ratio,zscore_score,zscore_anomaly,anomaly_score,is_anomalous
0,4096,0.5242173707565014,947142.75,0.7663292288780212,0.05224609375,4.825927734375,26.70966148376465,0.952392578125,95.25676756486916,True,95.25676756486916,True
4096,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
8192,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
12288,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
16384,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
20480,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
24576,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
28672,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
32768,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
36864,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
40960,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
45056,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
49152,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
53248,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
57344,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
61440,4096,0.05193650631716311,1033773.875,0.8043579459190369,0.0107421875,1.124755859375,16.842832565307617,0.994873046875,96.13257740736488,True,96.13257740736488,True
65536,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
69632,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
73728,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
77824,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
81920,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
86016,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
90112,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
94208,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
98304,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
102400,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
106496,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
110592,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
114688,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
118784,4096,0.8322115902139449,877089.375,0.5750004649162292,0.06005859375,7.857421875,35.13111114501953,0.91650390625,77.63049543641071,True,77.63049543641071,True
122880,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
126976,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
131072,4096,0.0,1044480.0,0.0,0.00634765625,0.0,0.0,1.0,2.8006432632850906,False,2.8006432632850906,False
135168,4096,0.029045405268449183,1039877.75,0.8442822098731995,0.0107421875,0.225830078125,4.9017720222473145,0.997802734375,100,True,100,True
139264,4096,6.868481871247398,54968.25,0.4083678126335144,0.797119140625,93.09765625,82.5079345703125,0.23193359375,100,True,100,True
143360,4096,7.704086737538336,6722.875,0.19809991121292114,0.9345703125,117.20361328125,78.66941833496094,0.08251953125,100,True,100,True
147456,4096,7.953556294008817,258.375,0.014817718416452408,1.002685546875,129.14794921875,73.43865966796875,0.004638671875,100,True,100,True
151552,4096,7.9541615993846575,256.125,0.00025424326304346323,1.002685546875,126.55908203125,73.72525787353516,0.00244140625,100,True,100,True
155648,4096,7.957610299652758,238.25,-0.02177204191684723,1.002685546875,129.055908203125,73.58040618896484,0.00390625,100,True,100,True
159744,4096,7.957183690029452,235.5,0.0006309046875685453,1.002685546875,127.286865234375,74.37712097167969,0.003662109375,100,True,100,True
163840,4096,7.95318359379664,256.5,-0.010171202011406422,1.002685546875,126.69873046875,73.6299819946289,0.00341796875,100,True,100,True
167936,4096,7.956482910920585,240.5,0.03731735050678253,1.002685546875,127.969482421875,74.28184509277344,0.003662109375,100,True,100,True
172032,4096,7.95643970797444,247.25,0.01730589009821415,1.002685546875,128.111572265625,74.5505599975586,0.003662109375,100,True,100,True
176128,4096,7.955531006260926,253.5,-0.004721838515251875,1.002685546875,127.35205078125,73.94408416748047,0.003662109375,100,True,100,True
180224,4096,7.957984756303561,236.625,0.01667298562824726,1.002685546875,128.113525390625,73.91773986816406,0.003173828125,100,True,100,True
184320,4096,7.953449662021239,267.5,0.0005440057720988989,1.002685546875,127.51806640625,74.29762268066406,0.0048828125,100,True,100,True
188416,4096,7.954370067104188,257.75,-0.04136142507195473,1.002685546875,126.9091796875,73.70702362060547,0.005615234375,100,True,100,True
192512,4096,7.953836259796012,263.25,-0.005616167094558477,1.002685546875,127.64111328125,74.36986541748047,0.00439453125,100,True,100,True
196608,4096,7.95388965275791,264.0,3.9066628232831135e-05,1.002685546875,127.54443359375,72.4279556274414,0.00341796875,100,True,100,True
200704,4096,7.957372159515557,237.875,-0.011854082345962524,1.002685546875,126.6474609375,72.79560852050781,0.00390625,100,True,100,True
204800,4096,7.9604014092130475,224.5,0.012431982904672623,1.002685546875,128.046875,73.69989013671875,0.00439453125,100,True,100,True
208896,4096,7.955504099216414,243.0,0.024230364710092545,1.002685546875,128.092041015625,73.76651763916016,0.005126953125,100,True,100,True
212992,4096,7.952134716001741,262.875,-0.0023684068582952023,1.002685546875,128.69189453125,74.31900787353516,0.005126953125,100,True,100,True
217088,4096,7.953230257609041,265.375,0.002428945852443576,1.002685546875,127.3544921875,74.40126037597656,0.00341796875,100,True,100,True
221184,4096,7.94487491284947,307.75,-0.01741856336593628,1.002685546875,127.914306640625,73.71361541748047,0.00341796875,100,True,100,True
225280,4096,7.962380219961153,212.25,0.004636555910110474,1.002685546875,128.257080078125,74.14973449707031,0.00439453125,100,True,100,True
229376,4096,7.9506470467209445,277.625,0.01398257166147232,1.002685546875,127.3037109375,73.94548034667969,0.0029296875,100,True,100,True
233472,4096,7.955375016674924,250.75,0.0007967915153130889,1.002685546875,128.0537109375,73.9633560180664,0.003173828125,100,True,100,True
237568,4096,7.9507038553019225,276.125,1.4147469755698694e-06,1.002685546875,127.29833984375,74.31342315673828,0.00439453125,100,True,100,True
241664,4096,7.951428488850868,269.75,-0.023718107491731644,1.002685546875,128.4736328125,73.12625122070312,0.001708984375,100,True,100,True
245760,4096,7.953324678699587,256.875,0.007848904468119144,1.002685546875,128.806884765625,74.04307556152344,0.004150390625,100,True,100,True
249856,4096,7.948943031932827,274.75,0.007744056172668934,1.002685546875,127.993408203125,73.95740509033203,0.002197265625,100,True,100,True
253952,4096,7.962428113502335,215.125,0.008041520603001118,1.002685546875,126.2666015625,74.65738677978516,0.003173828125,100,True,100,True
258048,4096,7.960471925900145,225.75,-0.012909785844385624,1.002685546875,127.24072265625,73.0989990234375,0.00439453125,100,True,100,True
262144,4096,7.955155861815704,252.75,0.02871054783463478,1.002685546875,130.828369140625,73.870849609375,0.0029296875,100,True,100,True
266240,4096,7.950423063234436,276.125,-0.039542652666568756,1.002685546875,128.441650390625,72.62935638427734,0.00341796875,100,True,100,True
270336,4096,7.951174109707331,273.875,0.010885991156101227,1.002685546875,127.987060546875,74.09555053710938,0.005615234375,100,True,100,True
274432,4096,7.946501045172317,297.75,-0.008329511620104313,1.002685546875,126.007568359375,73.3846206665039,0.005126953125,100,True,100,True
278528,4096,7.9571625355698465,238.375,0.009817970916628838,1.002685546875,127.550048828125,73.79839324951172,0.00146484375,100,True,100,True
282624,4096,7.955621956851433,251.125,0.0009941005846485496,1.002685546875,127.85693359375,74.03538513183594,0.00341796875,100,True,100,True
286720,4096,7.957478401506366,247.0,-0.025567518547177315,1.002685546875,128.129638671875,74.18111419677734,0.004150390625,100,True,100,True
290816,4096,7.9577669732823475,237.625,-0.0010764674516394734,1.002685546875,127.9111328125,74.17009735107422,0.00341796875,100,True,100,True
294912,4096,7.954342898450215,258.125,0.0067652752622962,1.002685546875,127.929443359375,73.33964538574219,0.00439453125,100,True,100,True
299008,4096,7.951001553902626,274.875,-0.00269271875731647,1.002685546875,126.475341796875,73.28582763671875,0.00244140625,100,True,100,True
303104,4096,7.956462313638406,242.625,0.012967106886208057,1.002685546875,125.156494140625,73.40835571289062,0.00390625,100,True,100,True
307200,4096,7.955826932099803,250.875,-0.014095518738031387,1.002685546875,127.0537109375,73.85110473632812,0.006103515625,100,True,100,True
311296,4096,7.949390937683919,288.25,0.010276071727275848,1.002685546875,127.998779296875,73.1821517944336,0.004150390625,100,True,100,True
315392,4096,7.9500664771921015,280.625,0.014734258875250816,1.002685546875,127.045654296875,73.47190856933594,0.00390625,100,True,100,True
319488,4096,7.952296417697359,268.75,0.009345285594463348,1.002685546875,128.878662109375,73.92473602294922,0.003662109375,100,True,100,True
